title,info,picture,isFake
Foreign Key,Is a field (or collection of fields) in one table that uniquely identifies a row of another table.,"https://i-msdn.sec.s-msft.com/jj713564.Database(en-us,MSDN.10).png",0
On delete cascade,"A foreign key with cascade delete means that if a record in the parent table is deleted, then the corresponding records in the child table will automatically be deleted. ",http://www.akadia.com/img/mutating_problem_1.gif,0
NoSQL,provides a mechanism for storage and retrieval of data that is modeled in means other than the tabular relations used in relational databases.,http://3.bp.blogspot.com/-nAGH_vqWc7g/Tcvt5NVR2FI/AAAAAAAAAaU/prNGkEKxsX0/s1600/nosql.png,0
Dr Codd,"nglish computer scientist who, while working for IBM, invented the relational model for database management, the theoretical basis for relational databases. He made other valuable contributions to computer science, but the relational model, a very influential general theory of data management, remains his most mentioned achievement.",https://upload.wikimedia.org/wikipedia/en/thumb/5/58/Edgar_F_Codd.jpg/150px-Edgar_F_Codd.jpg,0
DBA,"is an IT professional responsible for the installation, configuration, upgrading, administration, monitoring, maintenance, and security of databases in an organization.",,0
Surrogate Key,"A surrogate key in a database is a unique identifier for either an entity in the modeled world or an object in the database. The surrogate key is not derived from application data, unlike a natural (or business) key which is derived from application data",https://mahaveersingh.files.wordpress.com/2012/05/surrogate_key_blog_banner1.jpg,0
Insert(SQL),statement adds one or more records to any single table in a relational database.,,
Multivaluated,"A multivalued field (MVF) allows for the storage of more than one value in a database field. MVFs are somewhat controversial, with many arguing that they violate one of the very sacred tenets of database design as laid out by E.F. Codd",http://www.databasedev.co.uk/image/choose_multiple_values.gif,0
Database Scheduled Backup,Scheduled backup is a database backup that is triggered automatically at predefined time.,http://d33v4339jhl8k0.cloudfront.net/docs/assets/546d870be4b07e8a335a0e7c/images/54b63df9e4b04c67ce0d8b82/file-MTea5fjcBk.png,0
SQL,"is a special-purpose programming language designed for managing data held in a relational database management system (RDBMS), or for stream processing in a relational data stream management system (RDSMS).",http://4.bp.blogspot.com/-eHpEiIM6Nss/VRs-EqQjzYI/AAAAAAAATSo/tpEFUn3QrZY/s1600/SQL-Server.png,0
